机场代码,机场全称,机场简称,英文名,所属城市,城市三字码,所属省州,所属国家/地区,机场类型
BRU,布鲁塞尔机场,布鲁塞尔机场,Brussels Airport,布鲁塞尔,BRU,布鲁塞尔首都区,比利时,机场
AMD,艾哈迈达巴德国际机场,艾哈迈达巴德机场,Sardar Vallabhbhai Patel International Airport,艾哈迈达巴德,AMD,古吉拉特邦,印度,机场
BXN,伊姆希克机场,伊姆希克机场,Imsik,博德鲁姆,BJV,穆拉,土耳其,机场
SZF,卡尔萨姆巴机场,卡尔萨姆巴机场,Samsun Carsamba Apt,萨姆松,SZF,萨姆松,土耳其,机场
RZV,里泽阿尔特温机场,里泽阿尔特温机场,Rize Artvin Airport,里泽,RZV,里泽,土耳其,机场
DTW,底特律都会韦恩县机场,都会韦恩县机场,Detroit Metropolitan Wayne County Airport,底特律,DTT,密歇根州,美国,机场
WUB,无锡中央车站,无锡中央车站,wuxizhongyangchezhan,无锡,WUX,江苏省,中国,非海关机场
JGN,嘉峪关酒泉机场,嘉峪关酒泉机场,JIUQUAN AIRPORT,嘉峪关,JGN,甘肃省,中国,机场
TGC,丹戎马尼港,丹戎马尼港,Tanjung Manis Airport,丹绒玛尼,TGC,丹绒玛尼,马来西亚,机场
VKV,Vaskovo Airport,Vaskovo Airport,Vaskovo Airport,阿尔汉格尔斯克,ARH,阿尔汉格尔斯克,俄罗斯,机场
LNU,罗伯特·阿蒂·贝辛机场,罗伯特·阿蒂·贝辛机场,Kolonel RA Bessing Airport,马利瑙,LNU,东加里曼丹,印度尼西亚,机场
SZO,苏州城市航站楼,苏州航站楼,suzhouchengshihangzhanlou,苏州,SZV,江苏省,中国,非海关机场
ZAX,番禺轮渡码头,番禺轮渡码头,Pan Yu Ferry,广州,CAN,广东省,中国,非海关机场
NSZ,南沙港客运码头,南沙港客运码头,Nansha Ferry Terminal,广州,CAN,广东省,中国,非海关机场
TNG,伊本白图泰机场,伊本白图泰机场,Ibn Battouta Airport,丹吉尔,TNG,丹吉尔,摩洛哥,机场
